title,cover_img,year_released,release_type
Show Me Your Soul,https://i.discogs.com/KyxD6YIHY5r1PCrNB_CJ9CjadUpJBsxPZzR9H50RJbI/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwMzE4/MDItMTMxMjU1MTA5/Ni5qcGVn.jpeg,1990,single
Give It Away ,https://i.discogs.com/45kzHcvtc8MEn6qc9L1TNYK40HcQsd2bSf4VNyoah38/rs:fit/g:sm/q:90/h:529/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ2NjI5/Ny0xMzc3MjMxNjc4/LTg2NzkuanBlZw.jpeg,1991,single
Under the Bridge,https://i.discogs.com/wlVePXorLHwod_Bz4MxM4e-qDu4OZoB0IezoXmgfL_s/rs:fit/g:sm/q:90/h:598/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY2Nzg5/Ny0xNjY4NDAyODgw/LTUzNTQuanBlZw.jpeg,1991,single
Suck My Kiss,https://i.discogs.com/fB4a-S33ljRdsDfrQyYTX8m4lLLcZNdQxnnwv2UCUnA/rs:fit/g:sm/q:90/h:589/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNjIw/MDktMTM3NzIzODAy/OS02NjU4LmpwZWc.jpeg,1992,single
Breaking the Girl,https://i.discogs.com/OEEyCAPf085H-JTULUYkZvVu_8izdjMJYbuYKU8lgxA/rs:fit/g:sm/q:90/h:599/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI3MjY5/NzgtMTI5ODI4OTAx/My5qcGVn.jpeg,1992,single
Behind the Sun,https://i.discogs.com/iPTFVhFQc4n3wiGn1Vp8MYxbl-5XTLL5ROw10JndCh8/rs:fit/g:sm/q:90/h:600/w:378/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExMjMw/ODYtMTE5Mzg2NjIx/Ni5qcGVn.jpeg,1993,single
Soul to Squeeze,https://i.discogs.com/6wCMdmqm_rRPWhU2KBNl-FTkvDJRXqAp_6tQHrDRejs/rs:fit/g:sm/q:90/h:590/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwNDYy/OTYtMTM4MTk1ODQ4/My05OTcwLmpwZWc.jpeg,1993,single
My Friends,https://i.discogs.com/jBOn05ngoYq_rE1ZR6HZaB503h5LrD8VSe5MRAd8JrI/rs:fit/g:sm/q:90/h:523/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ5ODI1/NzAtMTczMjQ4MzUz/NS02NTU4LmpwZWc.jpeg,1994,single
Aeroplane,https://i.discogs.com/7YYXM2uvcef-m4G6QFkKLigGmcAKM-3ODP7a44ZVkoA/rs:fit/g:sm/q:90/h:522/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ3MTU4/NS0xNjA5NzQ2MTc5/LTY5NTMuanBlZw.jpeg,1995,single
Love Rollercoaster,https://i.discogs.com/0Mtr1caAZNREDMuSa4kYCTvy_fKsx6CZpQu3kJqjcCE/rs:fit/g:sm/q:90/h:375/w:374/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MDQz/NjQtMTIzMTYwODAx/NC5qcGVn.jpeg,1996,single
Scar Tissue,https://i.discogs.com/9prTH-L9M5MTGNm0EWjUg6v0UMLsV1AtdBY0k10FSiA/rs:fit/g:sm/q:90/h:523/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3MzUy/NTAtMTM4MTQwMDk0/My0xMDM4LmpwZWc.jpeg,1999,single
Around the World,https://i.discogs.com/K37d5vlojCHQmmIzxCHC8vhwLWWMdxl7OT7b7Ouplsg/rs:fit/g:sm/q:90/h:531/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMzODgz/MDMtMTY1MTM0ODg1/OC00NTAwLmpwZWc.jpeg,1999,single
Californication,https://i.discogs.com/dhjVzjPr9AIUafsg7KQrVnriXRCnLcWnAEJDIn5YfVg/rs:fit/g:sm/q:90/h:525/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM5OTcx/Ni0xNzMyNDc1NjQz/LTE0MjQuanBlZw.jpeg,2000,single
By the Way,https://theoriginalpostershop.com/cdn/shop/products/il_fullxfull.5703811989_495p_800x.jpg,2002,single
